Product,Price,Shades,Number of Shades,Description,Types,Category
Studio Waterweight SPF 30 Foundation,$36.00,"['NC15', 'NC20', 'NC25', 'NC30', 'NC35', 'NC37', 'NC40', 'NC42', 'NC44', 'NC45', 'NC50', 'NW13', 'NW15', 'NW18', 'NW20', 'NW22', 'NW25', 'NW30', 'NW35', 'NW43', 'NW45', 'NW47', 'NW50']",23,"Sheer Coverage, Satin Finish, Hydrating",Foundation,Face
Pro Longwear Nourishing Waterproof Foundation,$36.00,"['NC12', 'N18', 'NC13', 'NC41', 'NC46', 'NC18', 'NC27', 'NC15', 'NC38', 'NC17', 'NC20', 'NC25', 'NC30', 'NC35', 'NC37', 'NC40', 'NC42', 'NC44', 'NC45', 'NC47', 'NC50', 'NW13', 'NW15', 'NW18', 'NW20', 'NW22', 'NW25', 'NW30', 'NW35', 'NW40', 'NW45', 'NW50']",32,"Full Buildable Coverage, Satin Finish, 36-Hour Wear",Foundation,Face
M·A·C Studio Face and Body Foundation 50 ml,$33.00,"['N1', 'N2', 'N3', 'N5', 'N7', 'N9', 'C1', 'C2', 'C3', 'C4', 'C5', 'C6', 'C7']",13,"Sheer Coverage, Satin Finish, Hydrating",Foundation,Face
M·A·C Studio Face and Body Foundation 120 ml,$40.00,"['C1', 'C3', 'C4', 'C5', 'C6', 'N1', 'N2', 'N3', 'N5']",9,"Sheer Coverage, Satin Finish, Hydrating",Foundation,Face
Studio Sculpt SPF 15 Foundation,$36.00,"['NC15', 'NC20', 'NC25', 'NC30', 'NC35', 'NC37', 'NC40', 'NC42', 'NC44', 'NC45', 'NC50', 'NW15', 'NW20', 'NW25', 'NW30', 'NW35', 'NW40', 'NW43', 'NW45']",19,"Full Coverage, Natural Finish, Hydrating",Foundation,Face
Full Coverage Foundation,$36.00,"['NC15', 'NC20', 'NC30', 'NC35', 'NC45', 'NC55', 'C40', 'W10', 'NW20', 'NW25', 'NW30', 'NW35', 'NW40', 'NW45', 'NW50', 'White']",16,"Full Coverage, 24-Hour Wear, Water-Resistant",Foundation,Face
Studio Tech,$36.00,"['NC20', 'NC25', 'NC27', 'NC30', 'NC40', 'NC42', 'NC43', 'NC44', 'NC45', 'NC50', 'NW20', 'NW33', 'NW43', 'NW45', 'NW58']",15,"Medium Coverage, Natural Flawless Finish, Controls Oil",Foundation,Face
Pro Palette Full Coverage Foundation x 12,$70.00,[],0,"12 Foundation Shades, Ideal for Pro Artists, Portable",Foundation,Face
Mineralize Skinfinish,$36.00,"['CheekyBronze', 'GlobalGlow', 'GoldDeposit', 'Lightscapade', 'Soft&Gentle']",5,"Sheer Coverage, Luminous Finish, Highlighting",Powder,Face
Extra Dimension Skinfinish,$36.00,"['Superb', 'Oh,Darling!', 'GlowWithIt', 'BeamingBlush', 'Double-Gleam', 'ShowGold', 'SoftFrost', 'WhisperofGilt']",8,"Hybrid Formula, High Shine, Highlighting",Powder,Face
